Description,Code
SpecificCharacterSet,CS
SOPClassUID,UI
SOPInstanceUID,UI
StudyDate,DA
StudyTime,TM
AccessionNumber,SH
Modality,CS
ConversionType,CS
ReferringPhysicianName,PN
SeriesDescription,LO
PatientName,PN
PatientID,LO
PatientBirthDate,DA
PatientSex,CS
PatientAge,AS
BodyPartExamined,CS
ViewPosition,CS
StudyInstanceUID,UI
SeriesInstanceUID,UI
StudyID,SH
SeriesNumber,IS
InstanceNumber,IS
PatientOrientation,CS
SamplesperPixel,US
PhotometricInterpretation,CS
Rows,US
Columns,US
PixelSpacing,DS
BitsAllocated,US
BitsStored,US
HighBit,US
PixelRepresentation,US
LossyImageCompression,CS
LossyImageCompressionMethod,CS
PixelData,OB
